startDate,endDate,length
2014-03-27T00:00,2014-11-12T00:00,231
2014-11-14T00:00,2014-12-11T00:00,27
2014-12-14T00:00,2015-01-10T00:00,26
2015-01-12T00:00,2015-07-18T00:00,188
2015-07-20T00:00,2015-09-14T00:00,57
2015-09-17T00:00,2015-12-19T00:00,94
2015-12-21T00:00,2016-02-17T00:00,56
2016-02-19T00:00,2016-05-07T00:00,76
2016-05-09T00:00,2016-11-20T00:00,196
2016-11-22T00:00,2016-12-15T00:00,24
2016-12-17T00:00,2017-01-12T00:00,22
2017-01-14T00:00,2017-02-06T00:00,21
2017-02-09T00:00,2017-04-07T00:00,57
2017-04-09T00:00,2018-01-09T00:00,276
2018-01-11T00:00,2018-03-02T00:00,51
2018-03-04T00:00,2018-10-12T00:00,221
2018-10-14T00:00,2018-11-21T00:00,39
2018-11-23T00:00,2019-01-05T00:00,42
2019-01-07T00:00,2019-02-13T00:00,29
2019-02-16T00:00,2019-11-20T00:00,276
2019-11-22T00:00,2019-12-22T00:00,29
2019-12-24T00:00,2020-01-16T00:00,23
2020-01-18T00:00,2020-03-12T00:00,55
2020-03-14T00:00,2020-04-05T00:00,21
2020-04-08T00:00,2020-12-27T00:00,262
2020-12-30T00:00,2021-01-28T00:00,30
2021-01-31T00:00,2021-03-10T00:00,39
2021-03-12T00:00,2021-10-25T00:00,227
2021-10-27T00:00,2021-12-14T00:00,49
2021-12-16T00:00,2022-03-28T00:00,99
2022-03-30T00:00,2022-11-08T00:00,224
2022-11-10T00:00,2022-12-11T00:00,32
2022-12-13T00:00,2023-01-04T00:00,21
2023-01-07T00:00,2023-02-23T00:00,43
2023-02-27T00:00,2023-03-21T00:00,21
2023-03-23T00:00,2023-08-20T00:00,150
2023-08-22T00:00,2023-12-20T00:00,121
2023-12-23T00:00,2024-01-20T00:00,28
2024-01-22T00:00,2024-02-19T00:00,24
2024-02-22T00:00,2024-03-29T00:00,36
2024-04-01T00:00,2025-01-26T00:00,300
2025-01-28T00:00,2025-02-28T00:00,31