stationCode,maxWindSpeedHigh,maxWindSpeedTime,maxWindGustHigh,maxWindGustTime,stationName,stationAddress,zipCode,latitude,longitude,fireDistanceMiles
"KCABEVER36","12.1","2025-01-07T14:15","19.5","2025-01-07T13:15","Benedict Canyon/Mulholland","13211 Mulholland Drive, Beverly Hills, CA 90210","90210","34.128809","-118.420488","8.64"
"KCACALAB70","20.5","2025-01-07T10:45","31.3","2025-01-07T10:45","Calabasas Highlands","Calabasas Highlands, Calabasas, CA 91302","91302","34.12295","-118.67193","7.13"
"KCALOSAN1017","13.4","2025-01-07T14:00","18.1","2025-01-07T14:00","Brentwood","Brentwood, Los Angeles, CA 90049","90049","34.08749","-118.48976","4.01"
"KCALOSAN1201","17.5","2025-01-07T12:15","25.1","2025-01-07T12:15","Sawtelle","Sawtelle, Los Angeles, CA 90025","90025","34.04551","-118.44583","6.88"
"KCALOSAN1231","17","2025-01-07T12:15","23.9","2025-01-07T14:45","Bel Air","Bel Air, Los Angeles, CA 90077","90077","34.10536","-118.45591","6.18"
"KCALOSAN1246","5.1","2025-01-07T14:15","14","2025-01-07T14:45","Beverly Crest","Beverly Crest, Los Angeles, CA 90210","90210","34.10251","-118.41505","8.4"
"KCALOSAN364","8.5","2025-01-07T14:00","20.6","2025-01-07T15:00","Mar Vista Hill","Mar Vista Hill, Los Angeles, CA 90066","90066","34.00166","-118.43104","9.07"
"KCALOSAN724","29.5","2025-01-07T15:00","37.8","2025-01-07T15:00","Brentwood","Brentwood, Los Angeles, CA 90049","90049","34.08749","-118.48976","4.01"
"KCALOSAN803","5.6","2025-01-07T13:30","12.5","2025-01-07T13:30","Lower Bel Air","Lower Bel Air, Los Angeles, CA 90077","90077","34.10536","-118.45591","6.18"
"KCALOSAN842","0","2025-01-07T00:00","0","2025-01-07T00:00","Sawtelle","Sawtelle, Los Angeles, CA 90025","90025","34.04551","-118.44583","6.88"
"KCALOSAN872","31","2025-01-07T10:45","37","2025-01-07T14:45","Del Rey","Del Rey, Los Angeles, CA 90066","90066","34.00166","-118.43104","9.07"
"KCALOSAN895","19.9","2025-01-07T14:15","26.2","2025-01-07T12:00","Brentwood","Brentwood, Los Angeles, CA 90049","90049","34.08749","-118.48976","4.01"
"KCALOSAN902","9.8","2025-01-07T14:45","17.4","2025-01-07T13:45","Bel Air","Bel Air, Los Angeles, CA 90077","90077","34.10536","-118.45591","6.18"
"KCALOSAN938","8.9","2025-01-07T15:00","17.2","2025-01-07T15:00","Brentwood","Brentwood, Los Angeles, CA 90049","90049","34.08749","-118.48976","4.01"
"KCAMALIB108","16.8","2025-01-07T13:45","29.8","2025-01-07T10:45","Malibu","Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAMALIB114","33","2025-01-07T11:00","33","2025-01-07T11:00","Malibu","Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAMALIB151","10.1","2025-01-07T10:45","20.4","2025-01-07T10:30","Point Dume","Point Dume, Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAMALIB158","29.5","2025-01-07T14:30","42.9","2025-01-07T11:45","Santa Monica Mountains","Santa Monica Mountains (Solstice Canyon), Malibu, CA 90265","90265","34.035","-118.7445","11.04"
"KCAMALIB166","18.3","2025-01-07T11:00","29.5","2025-01-07T10:45","Broad Beach","31250 Broad Beach Rd, Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAMALIB52","35.7","2025-01-07T12:15","35","2025-01-07T10:30","Tapia Reclamation Facility","Tapia Water Reclamation Facility, 4232 Las Virgenes Road, Calabasas, CA 91302","91302","34.12295","-118.67193","7.13"
"KCAMALIB61","24.6","2025-01-07T11:00","34.2","2025-01-07T10:30","Malibu Springs - Vedder","Malibu Springs - Vedder, Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAMALIB62","12.1","2025-01-07T13:30","21.7","2025-01-07T10:30","Malibu Country Estates","Malibu Country Estates, Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAMALIB87","21","2025-01-07T10:45","29","2025-01-07T15:30","Malibu","Malibu, CA 90265","90265","34.031246","-118.788193","13.52"
"KCAPACIF272","13","2025-01-07T13:30","23.9","2025-01-07T14:15","Pacific Palisades","Pacific Palisades, CA 90272","90272","34.08066","-118.54459","0.84"
"KCAPACIF287","27","2025-01-07T14:45","40","2025-01-07T12:15","Alphabet Streets","Alphabet Streets, Pacific Palisades, CA 90272","90272","34.08066","-118.54459","0.84"
"KCASANTA2881","22.8","2025-01-07T13:30","29.1","2025-01-07T14:45","Wilshire/Montana","Wilshire/Montana, Santa Monica, CA 90403","90403","34.023935","-118.493419","5.35"
"KCASANTA3310","15.2","2025-01-07T14:15","25.1","2025-01-07T14:00","Ocean Park","Ocean Park, Santa Monica, CA 90405","90405","34.01208","-118.4679","6.97"
"KCASANTA4210","22.6","2025-01-07T14:45","37.6","2025-01-07T15:15","Pico","Pico, Santa Monica, CA 90404","90404","34.03","-118.47","6.12"
"KCASANTA4447","8.1","2025-01-07T11:45","18.3","2025-01-07T11:00","Rustic Canyon","Rustic Canyon Park","90402","34.035","-118.504","4.38"
"KCASANTA4632","15.4","2025-01-07T14:45","25.9","2025-01-07T15:30","Wilshire","Wilshire, Santa Monica, CA 90403","90403","34.03164","-118.48975","5.15"
"KCASANTA4711","9","2025-01-07T13:45","9","2025-01-07T13:45","The Palisades","The Palisades, Santa Monica, CA 90402","90402","34.03598","-118.50391","4.34"
"KCASANTA4733","0","2025-01-07T00:00","0","2025-01-07T00:00","Pico","Pico, Santa Monica, CA 90404","90404","34.03","-118.47","6.12"
"KCASANTA630","8","2025-01-07T10:30","0","2025-01-07T00:00","SM/Brentwood","SM/Brentwood, Santa Monica, CA 90403","90403","34.03164","-118.48975","5.15"
"KCATOPAN28","12.8","2025-01-07T15:00","18.3","2025-01-07T12:30","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN32","33.3","2025-01-07T16:00","42.3","2025-01-07T16:00","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN40","17.4","2025-01-07T11:30","28.6","2025-01-07T11:30","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN43","13.9","2025-01-07T16:00","27.3","2025-01-07T16:00","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN47","16.1","2025-01-07T14:45","23.7","2025-01-07T16:00","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN52","11.6","2025-01-07T11:45","21.7","2025-01-07T11:15","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN55","18.6","2025-01-07T14:15","26.4","2025-01-07T15:45","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN62","6.9","2025-01-07T11:15","9.8","2025-01-07T11:15","Topanga","Topanga, CA 90290","90290","34.09725","-118.6125","3.31"
"KCATOPAN68","8.7","2025-01-07T13:00","14.8","2025-01-07T12:15","Fernwood","913 Fernwood Pacific Drive, Topanga, CA 90290","90290","34.0812","-118.60405","2.58"
"KCATOPAN8","57.9","2025-01-07T10:30","66","2025-01-07T15:45","L.A.Co.F.D. Helistop 69Bravo","401 S. Topanga Cyn Blvd, Topanga, CA 90290","90290","34.0837306","-118.5995221","2.34"
"KCAVENIC20","10.3","2025-01-07T15:30","20.6","2025-01-07T15:30","Oakwood Pentagon","2009 Oakwood Ave, Venice, CA 90291","90291","33.9972","-118.4639","7.85"
"KCAWOODL8","28","2025-01-07T10:30","29","2025-01-07T10:45","Mulholland Dr. and Canoga Ave.","21329 Mulholland Drive, Woodland Hills, CA 91364","91364","34.144699","-118.597554","5.04"
"KLAX","25","2025-01-07T15:00","37","2025-01-07T15:00","Los Angeles International Airport","1 World Way, Los Angeles, CA 90045","90045","33.942387","-118.416062","12.5"
"KSMO","25","2025-01-07T15:00","37","2025-01-07T15:00","Santa Monica Muni","Santa Monica Municipal Airport, 3223 Donald Douglas Loop S, Santa Monica, CA 90405","90405","34.0158219","-118.4513061","7.56"
"KTOA","13","2025-01-07T16:00","30","2025-01-07T16:00","Zamperini Fld","Zamperini Field, 3301 Airport Drive, Torrance, CA 90505","90505","33.80338","-118.33961","22.82"