"Date","Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Condition","Station","Precipitation"
"2025-01-07","1:50 AM","55","54","94","NE","3","0","29.81","Mostly Cloudy","KLAX","0.0"
"2025-01-07","1:53 AM","55","53","93","CALM","0","0","29.80","Mostly Cloudy","KLAX","0.0"
"2025-01-07","2:53 AM","53","51","93","CALM","0","0","29.80","Mostly Cloudy","KLAX","0.0"
"2025-01-07","3:53 AM","53","51","93","SE","3","0","29.80","Fair","KLAX","0.0"
"2025-01-07","4:53 AM","51","50","96","CALM","0","0","29.79","Mostly Cloudy","KLAX","0.0"
"2025-01-07","5:53 AM","50","48","93","CALM","0","0","29.80","Partly Cloudy","KLAX","0.0"
"2025-01-07","6:53 AM","51","48","89","SE","5","0","29.80","Partly Cloudy","KLAX","0.0"
"2025-01-07","7:53 AM","50","48","93","CALM","0","0","29.82","Mostly Cloudy","KLAX","0.0"
"2025-01-07","8:53 AM","52","50","93","SSE","3","0","29.83","Mostly Cloudy","KLAX","0.0"
"2025-01-07","9:53 AM","57","50","77","E","3","0","29.85","Mostly Cloudy","KLAX","0.0"
"2025-01-07","10:53 AM","65","37","36","N","10","0","29.85","Mostly Cloudy","KLAX","0.0"
"2025-01-07","11:53 AM","69","34","27","NNE","23","30","29.85","Mostly Cloudy / Windy","KLAX","0.0"
"2025-01-07","12:53 PM","71","35","27","NNE","14","29","29.83","Mostly Cloudy","KLAX","0.0"
"2025-01-07","1:53 PM","71","36","28","NNE","14","26","29.80","Partly Cloudy","KLAX","0.0"
"2025-01-07","2:53 PM","72","36","27","NNE","25","37","29.79","Partly Cloudy / Windy","KLAX","0.0"
"2025-01-07","3:53 PM","71","36","28","NNE","25","33","29.80","Fair / Windy","KLAX","0.0"
"2025-01-07","4:53 PM","70","35","28","NNE","21","36","29.79","Fair / Windy","KLAX","0.0"
"2025-01-07","5:53 PM","68","32","26","NNE","25","41","29.81","Fair / Windy","KLAX","0.0"
"2025-01-07","6:53 PM","67","32","27","NNE","21","31","29.84","Fair / Windy","KLAX","0.0"
"2025-01-07","7:53 PM","66","32","28","NNE","29","43","29.87","Fair / Windy","KLAX","0.0"
"2025-01-07","8:53 PM","66","31","27","NNE","23","40","29.89","Fair / Windy","KLAX","0.0"
"2025-01-07","9:53 PM","64","31","29","NNE","18","32","29.89","Fair","KLAX","0.0"
"2025-01-07","10:53 PM","64","30","28","NNE","20","31","29.90","Fair","KLAX","0.0"
"2025-01-07","11:20 PM","64","28","26","NNE","22","35","29.91","Partly Cloudy / Windy","KLAX","0.0"
"2025-01-07","11:53 PM","64","28","26","NNE","20","40","29.92","Partly Cloudy","KLAX","0.0"
"2025-01-08","12:53 AM","63","28","27","NNE","18","32","29.92","Partly Cloudy","KLAX","0.0"
"2025-01-07","1:50 AM","55","54","94","NE","3","0","29.81","Mostly Cloudy","KSMO","0.0"
"2025-01-07","1:53 AM","55","53","93","CALM","0","0","29.80","Mostly Cloudy","KSMO","0.0"
"2025-01-07","2:53 AM","53","51","93","CALM","0","0","29.80","Mostly Cloudy","KSMO","0.0"
"2025-01-07","3:53 AM","53","51","93","SE","3","0","29.80","Fair","KSMO","0.0"
"2025-01-07","4:53 AM","51","50","96","CALM","0","0","29.79","Mostly Cloudy","KSMO","0.0"
"2025-01-07","5:53 AM","50","48","93","CALM","0","0","29.80","Partly Cloudy","KSMO","0.0"
"2025-01-07","6:53 AM","51","48","89","SE","5","0","29.80","Partly Cloudy","KSMO","0.0"
"2025-01-07","7:53 AM","50","48","93","CALM","0","0","29.82","Mostly Cloudy","KSMO","0.0"
"2025-01-07","8:53 AM","52","50","93","SSE","3","0","29.83","Mostly Cloudy","KSMO","0.0"
"2025-01-07","9:53 AM","57","50","77","E","3","0","29.85","Mostly Cloudy","KSMO","0.0"
"2025-01-07","10:53 AM","65","37","36","N","10","0","29.85","Mostly Cloudy","KSMO","0.0"
"2025-01-07","11:53 AM","69","34","27","NNE","23","30","29.85","Mostly Cloudy / Windy","KSMO","0.0"
"2025-01-07","12:53 PM","71","35","27","NNE","14","29","29.83","Mostly Cloudy","KSMO","0.0"
"2025-01-07","1:53 PM","71","36","28","NNE","14","26","29.80","Partly Cloudy","KSMO","0.0"
"2025-01-07","2:53 PM","72","36","27","NNE","25","37","29.79","Partly Cloudy / Windy","KSMO","0.0"
"2025-01-07","3:53 PM","71","36","28","NNE","25","33","29.80","Fair / Windy","KSMO","0.0"
"2025-01-07","4:53 PM","70","35","28","NNE","21","36","29.79","Fair / Windy","KSMO","0.0"
"2025-01-07","5:53 PM","68","32","26","NNE","25","41","29.81","Fair / Windy","KSMO","0.0"
"2025-01-07","6:53 PM","67","32","27","NNE","21","31","29.84","Fair / Windy","KSMO","0.0"
"2025-01-07","7:53 PM","66","32","28","NNE","29","43","29.87","Fair / Windy","KSMO","0.0"
"2025-01-07","8:53 PM","66","31","27","NNE","23","40","29.89","Fair / Windy","KSMO","0.0"
"2025-01-07","9:53 PM","64","31","29","NNE","18","32","29.89","Fair","KSMO","0.0"
"2025-01-07","10:53 PM","64","30","28","NNE","20","31","29.90","Fair","KSMO","0.0"
"2025-01-07","11:20 PM","64","28","26","NNE","22","35","29.91","Partly Cloudy / Windy","KSMO","0.0"
"2025-01-07","11:53 PM","64","28","26","NNE","20","40","29.92","Partly Cloudy","KSMO","0.0"
"2025-01-08","12:53 AM","63","28","27","NNE","18","32","29.92","Partly Cloudy","KSMO","0.0"
"2025-01-07","1:53 AM","55","53","93","CALM","0","0","29.86","Fair","KTOA","0.0"
"2025-01-07","2:53 AM","54","52","93","CALM","0","0","29.86","Fair","KTOA","0.0"
"2025-01-07","3:53 AM","52","50","93","CALM","0","0","29.86","Fair","KTOA","0.0"
"2025-01-07","4:53 AM","51","49","92","CALM","0","0","29.85","Fair","KTOA","0.0"
"2025-01-07","5:53 AM","50","48","93","CALM","0","0","29.86","Fair","KTOA","0.0"
"2025-01-07","6:53 AM","51","48","89","CALM","0","0","29.86","Fair","KTOA","0.0"
"2025-01-07","7:53 AM","51","49","92","CALM","0","0","29.88","Fair","KTOA","0.0"
"2025-01-07","8:07 AM","51","48","89","CALM","0","0","29.89","Fair","KTOA","0.0"
"2025-01-07","8:53 AM","52","49","89","CALM","0","0","29.89","Fair","KTOA","0.0"
"2025-01-07","9:53 AM","57","49","74","CALM","0","0","29.91","Fair","KTOA","0.0"
"2025-01-07","10:53 AM","65","46","50","CALM","0","0","29.91","Fair","KTOA","0.0"
"2025-01-07","11:53 AM","69","35","29","NE","10","22","29.92","Fair","KTOA","0.0"
"2025-01-07","12:53 PM","71","33","25","VAR","6","20","29.89","Fair","KTOA","0.0"
"2025-01-07","1:53 PM","74","33","22","","0","0","29.86","Fair","KTOA","0.0"
"2025-01-07","2:53 PM","74","33","22","","0","0","29.85","Fair","KTOA","0.0"
"2025-01-07","3:53 PM","72","33","24","NNE","13","30","29.86","Fair","KTOA","0.0"
"2025-01-07","4:53 PM","71","32","24","","0","0","29.86","Fair","KTOA","0.0"
"2025-01-07","5:53 PM","69","29","22","","0","0","29.87","Fair","KTOA","0.0"
"2025-01-07","6:53 PM","67","27","22","","0","0","29.90","Fair","KTOA","0.0"
"2025-01-07","7:53 PM","67","28","23","","0","0","29.93","Fair","KTOA","0.0"
"2025-01-07","8:53 PM","67","28","23","NE","10","28","29.96","Mostly Cloudy","KTOA","0.0"
"2025-01-07","9:53 PM","66","29","25","NNE","16","35","29.97","Fair","KTOA","0.0"
"2025-01-07","10:53 PM","65","29","26","VAR","6","17","29.98","Cloudy","KTOA","0.0"
"2025-01-07","11:53 PM","64","29","27","VAR","7","0","30.00","Cloudy","KTOA","0.0"
"2025-01-08","12:53 AM","63","17","17","N","6","0","29.99","Cloudy","KTOA","0.0"